Agency Acronym,Agency Name,Entity type,MMR chapter,Rulemaking Entity,Agency Head First Name,Agency Head Last Name,Agency Contacts,Reports to Deputy Mayor/Executive,Executive Name (from Deputy Mayor/Executive),BC Description,Board/Commission Qualification,BC Source of Authority,Legal Source Link,Agency/Board Website,BC Type,COS Note,Legal Source,Executive Structure,Executive Structure Detail,Mayoral Agency?,Advisory Board?,Legal Source Notes,Charter and Statute,Rules and Regs,Year created,Sources Available (from MO101) copy 2,Core Mission
TSTHTF,Transportation of Students in Temporary Housing Task Force,Board/Commission,,,,,,Mayor's Chief of Staff,Camille Joseph-Varlack,Task force regarding the transportation of students in temporary housing,,Local Law 158 of 2021,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-136103,,,,LL 158 of 2021,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,"Local Law 158 of 2021.docx (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/9lI0BOoOTXIC8kUtjuEEdA/KgDZJULcymw41uNfu9nkgHh589psYvf2TuU4kyzU-qj4YVFuoJLptjUcxiHThICDxd_7e2CI4EtQwJ3nJnY0yQIn_g-woMeN0HX9BbbE1r6uPFmIFCEalLzg2WN-WgitPlLchKR6Kbaatik6B8G3N86sS8o6RxJ_X9k85NvclC0/Snn1kGobOoErIXJ8GAuTmw6ujLQRPRjx7t0bM6LkxJo),Local Law 158.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/CQXVx9zL_dkSX_2-c3QGhg/-Y_A_vMMiUQe-qMNulMtTk-7eFmIkablS9cW6RqHSeNThN_1F0AeSz3OEHAEhIXbgRX4hsZ6QCcvKWus0iwpGwWF6hAHzLYRCQeu2ZjxCwWQn1ECFE1OEyu9ADvIiU6kVKGZadRTpLoSKV7ncdCYYQ/ujSUbF6CUOW2mymCiI-Kd4QvgV851ODXAGcxST2AIN8)",,,
UAAB,Urban Agricultural Advisory Board,Board/Commission,,,,,,DM Operations,Meera Joshi,"An advisory board to advise the director, the mayor and the council on issues relating to urban agriculture. ",,City Charter Section 20-a (d),https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5698,,,,"Charter Chapter 1, Section 20-a",Multi-member Commission,,Yes,Yes,,,Local Law 123 of 2021.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/7QVLeWgKrXPxYkgUQDiLJA/i_2LyZe0en5_8aGIjO-bCXHkWtB_fKudrwuI1TnjQ1e8AawYKqY3DtY_wZ3jEE_iy7Jp3z_LQJrkS98-tQx5Zter1AHOOys5iPaITPnh1mOLlExKYJfA5cLs70JutJzacSeNUO3YacYH38CVabsdtFIBajQQPFSR6A4hYiUFc5U/SqiXXGXNRypEHZkuDViPVWrvsDrbwoih8PHibgfIUwE),,,
UNDC,United Nations Development Corporation,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"The United Nations Development Corporation (UNDC) is a New York State public benefit corporation (created by NY State Law chapter 316 in 1968) to assist the United Nations community with its office space and other real estate needs. Among its most important tasks, it builds, maintains, and leases out multiple office buildings to house UN agencies in NYC.  ",,"New York State public benefit corporation established by Chapter 345, Laws of 1968, as amended through July 2011 ",,https://undc.org/,MC,,"Laws of New York 1968, Chapter 345","""Single Agency Head (commissioner, exec director, administrator)""",,No,No,"By Laws: https://undc.org/assets/By_laws.pdf#:~:text=UNITED%20NATIONS%20DEVELOPMENT%20CORPORATION%20A%20New%20York%20public,of%201971.%20As%20amended%20through%20September%2030%2C%202005 ",,"As Ammended through 2011.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/shxcrr_RgDPiMb7679o_LA/okeHlfY10adCxSmk8CmKnTNWq8-qq4KRuj2RVAPfJz2uZharL7t1a0n52hVabDtUSPJuPu7AE4391uLdwpW_1H5L2bOHALc6na3hlL4EK37EgFaRUc5x-hA5Uxgmy66ODGgAUg0yP9N8tXpFM7ByJfTuzJCWgaRuHvp8wnRIM6s/Yt1bRlTRBltPqJlHXxsrhrN3YxJD84FYEcAe64G62dw),UNDC By-Laws as amended through September 30 2005.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/e0blsdcu-ZPgSboMOl1m1g/ntW4xsyZ7afY4Fzgq-Cf46eszIInVyJ44r_0sjkh-pQws_rFdcP2V7oniIXHr6eoRqmOujemAJz_JzOUfe8VGvjdPwWr-iFJBKIu-YjicPwcJfbk1DtaeJ07HgWzR80EhyUsFnA0zMgtRmRnvDLO5IOIo7ekdsaMUSX5P6c_tip4mNmyX0hpm4q30JmPGWgo/eZVq70X0Wnj9tpQUoQERw5fHwS0FI19RdtZ5NQZDZ9A),UNDC By-Laws as of Sept 30 2005.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/IRu94VzzcvwSpIaeyb9nbw/DoXCZe4kDFBp4uCzRMThNN4uaxeSiLz6mHCFMtBd0dV9wRTbbbxVPPNwxNYgd3SihScRuwOtFJIsdrhfi1Gouau7OYRuLN9NdAQm7se9fl1oSuP4QyGFhdwPGj9LX_CJGxgHXrX8kVqHcIyfVJEquAlfZ5QpY9OkaPVT465YqpQ/KalbR-Yx4iAW1MrxsrtIIkqBTUTYfY37nEfP9Qbkjfs),UNDC Corp Gov Guidelines Final.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/JcR5xiX8kqlG6d1YOsbwGw/hxWRBNXAImn5r6U1ateYLaB3teq7e3A3N1Bf3BBYyhEb36DxpDRcePDZ9N0Fzx9OwhT97mvQxlLU5__Ol7BN9qZ5vooiGU-bcetH4doc7GjsfyjvdLyyOYFYE_PEfaO0JVFhMGE1n4vizykQQY6ko4FgnK_SDhiugbHSwSWvJwc/MfFjgb__UMvKYSUKdM9d8IFjveOc5GUAUDjEoBmIhng)",,,
VAAC,Voter Assistance Advisory Committee,Board/Commission,,checked,,,,Mayor's Chief of Staff,Camille Joseph-Varlack,"The Voter Assistance Advisory Committee (“VAAC”) shall assist the Campaign Finance Board with its duties and responsibilities, including but not limited to overseeing the voter assistance program. Specifically, VAAC will hold public hearings to solicit and hear testimony from members of the public, good government groups, and public officials regarding how to improve voter assistance in New York City, and will make recommendations to the Campaign Finance Board to help the agency develop and implement a com¬prehensive voter engagement plan.","The Mayor appoints 2 members, not more than one such member shall be enrolled in any one political party. The Mayor shall appoint the Chair in consultation with the Council Speaker. Candidate shall be registered to vote in New York City. Appointees should have experience with groups or categories of residents that are underrepresented among those who vote or among those who are registered to vote and community, voter registration, civil rights, and disabled groups. No member other than the Public Advocate shall serve as an officer of a political party, or be a candidate, or participate in any capacity in a campaign by a candidate, for nomination for election or election to the office of Mayor, Public Advocate, Comptroller, Borough President or member of the City Council. ",City Charter – § 1054,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2972,https://nyccfb.info/about/vaac,MC,,"Charter Chapter 46, Section 1054","""Single Agency Head (commissioner, exec director, administrator)""",The committee consists of nine members.,Yes,Yes,,,§1054 _ New York City Campaign Finance Board  and VAAC bylaws.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/a-XPaeuswBkdiDo5ufGTWw/Jlv2Avcd1RFJkDbG17is746ES2AdA3zO5Ckp7Wt0hLsxbsTTKYefggl4XpdIiYZU5JnpGyWY1g22LsQOTaAcMHlAqfYbWTOKwJ8chQAXfi5cctp5SyLIx-hXc3lajgLdepWsbmfeIawU6C670jlqZ6NBJfnuz4ZYKIyQm3ICDds6I3aMy3bpmjCreEnYh2LOZ2fEdofQKLkvRtofOOuBzw/A9B9oaMqZ9fVcUqb1mN6H_9OddAt1f1odTpu0GNc-rY),,,
VAB,Veterans Advisory Board,Board/Commission,,,,,,DM Health & Human Services,Anne Williams-Isom,"The Veterans’ Advisory Board advises the Commissioner of Veterans’ Affairs on all matters concerning veterans, determines its own rules of procedure, and submits an annual report of its activities to the Mayor and the City Council on or before December 31st of each year. ",,NYC Charter – § 3103 (New bill Int. No. 2354 in committee),https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4476,https://www1.nyc.gov/site/veterans/community/veterans-advisory-board.page,MC,,"Charter Chapter 75, Section 3103",Multi-member Commission,"The veterans' advisory board consists of eleven members, all of whom shall be veterans, six of whom are appointed by the mayor and five of whom are appointed by the speaker of the council.",Yes,Yes,,Chapter 75_ Department of Veterans’ Services — NYC Charter 3103.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/97xqsCZcxPrT8ujz---nKQ/RhcGqiKs5q0MGUJySLc_kta__16dRqR0vVE5_CCqXVpkvdqqVK6ll3QMT_t8bPm9DUoEjMEnwG9BgGmOuRcVdy_wSR9TAWLYy7-y2zTRbrRMHfANWiloJoty1G2rk_dmlGvJ36034bHQnFyeIJxPzCsPzHvNmtaIHfK4xmAZoDuSqWkz2kaiNShMfZJ5q7PIQbOHk4aZbmkCK_nK4kR3xQ/ppSXcpvE4SpcHjK4Gwr_jY-W9Tm5GoAAgloX5sm5xB8),Int_ 2354-2021 Version B.docx (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/BnnlQMfdRsuqfWwQ1hu4bA/Te-mlSTAxjVtfQ_5YUZSrgQZ4EMjcp2RnRnHthFJ35PnTvOMjKsAzxhKIzWmjzN8wtnWW1y7MF_yWu3KSr2ulsF6EYqbM2tZyD-emz1haeeCvZyau6nDRmdE92wXTqK9kn_j7aH0ucU_L_qOXu08KVWnCx7u_xZDYFoigV7jaCM/MrRzyj-5JLS8tJuY6tWlgGCGEE_3xAMgWWZXaUQ4jU8),,,
VRTF,Vehicle Removal Task Force,Board/Commission,,,,,,DM Operations,Meera Joshi,"There shall be an interagency task force to examine existing procedures or requirements for removing from city streets vehicles that are abandoned or parked without a license plate or valid registration. Such task force shall develop recommendations to improve existing removal practices in response to complaints from local residents, including, but not limited to, recommendations for rules or legislation regarding removing such vehicles from public streets.
 
The task force shall invite representatives from the New York state department of motor vehicles, the New York state department of transportation or any other relevant state agency identified by the task force, to participate in at least one task force meeting or to review the report required by subdivision e of this section.

No later than one year after the date this local law takes effect, the task force shall submit a report to the mayor and the speaker of the council setting forth its recommendations. The task force shall terminate upon the submission of the report required by subdivision e of this section.

The chair of the task force shall convene the first meeting no later than 90 days (Sept 24th 2021) after the date this local law takes effect (June 26, 2021)
",,Local Law 72 of 2021,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-133615,,MC,,LL 72 of 2021,"""Single Agency Head (commissioner, exec director, administrator)""",The taskforce consists of five members. ,Yes,No,,,Local Law 72.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/Z5T3Aj8ALloGVjFaM5gpXA/po-Wx9YiINTTqfAcSpxU6kkXO7OQmII8Y2rzvg5i4cMgzviWb-FgKtcdCTwospAEpfoKxW8t1-RBeqdsR7VedUfdxZNnrpZ-oHv7sUH1VzX_EpPt-WVPW92wxj9ct1TFy1hc8h14kmryI53sOwjA4A/4yCBbFFouLk9rhZ3JQJGMgtjY5-W4eFUDtp0W0Jkc4Q),,,
WATER,Water Board,Board/Commission,,,,,,DM Operations,Meera Joshi,"The New York City Water Board’s mission is to establish rates for and distribute the collected revenues of the Water and Sewer System (the “System”) of the City of New York, proactively considering the optimal level to achieve efficient financing of the System’s infrastructure and sustainable provision of high-quality service at a fair price to our customers. In fulfilling its mission, the Board will actively take into account drivers affecting the financial condition of the System, such as the operating and capital needs of the System, protection of the watershed, regulatory requirements and other relevant factors.

The Water Board's fulfillment of this mission enables the System to keep investing in critical infrastructure, ensuring that DEP is able to supply 9 million New Yorkers (half of the state's population) with world-class drinking water.
",At least one member of the board shall have experience in the science of water resource development. No member of the Water Board will be a member of the Authority.,New York State Public Authorities Law – § 1045-f,https://newyork.public.law/laws/n.y._public_authorities_law_section_1045-f,https://www1.nyc.gov/site/nycwaterboard/index.page,MC,,"New York Public Authorities Law, Section 1045-F","""Single Agency Head (commissioner, exec director, administrator)""",The board consists of nine members all of which are appointed by the mayor.,Yes,No,,,,,,
WAVEHILL,CIG - Wave Hill,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,https://www.wavehill.org/support/board-and-friends,MC,,"Laws of New York 1965, Chapter 439",Multi-member Commission,,No,No,,,,,,
WCS,CIG - Wildlife Conservation Society,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,https://www.wcs.org/about-us/management,MC,,"Laws of New York 1895, Chapter 435",Multi-member Commission,,No,No,,,,,,
WDB,Workforce Development Board,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"The Board’s responsibilities, which will be undertaken in partnership with the Mayor, include developing the City’s strategy under the Workforce Innovation and Opportunity Act (WIOA) to improve the skills of New York’s workforce to better meet employer needs, conducting oversight of the City’s employment and training system, and working with employers and public sector partners to further the goals of the Act.",,WIOA 17(a); (b)(2),https://www.congress.gov/113/bills/hr803/BILLS-113hr803enr.pdf,https://www1.nyc.gov/site/wkdev/workforce-board/about-the-board.page,MC,,"Workforce Innovation and Opportunity Act, Section 107",Multi-member Commission,,No,No,,,"State Certification.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/O_CAbFCv_6Q1bT9CHI4xGw/8yo2kv67svQs5P95FGSaZhig-sNYDklkROUjXO17K4Hxbvg_IXB1HvukrVJcKzNob6b9ZO4-0tmPvwOcSoJalzDfZ67SHxthb9ecsEQ03meyXoGxofq--Z6gvyg1YxsdlLHVPXVOWwkeuHAdssI1OUjy3WFo4zUKsBuRYbJ0v_w/0h69Dv9mGDq5LjpSGe82OHUdr_Xjmub4I9FZbhVs6-4),WIOA 107 (a)(b2).pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/DWLNimKU4892fcld19oYvw/IFTTndSSQv7X2Mc9qrfwrbZYCo1maBhX_RNAYYAKuNHm0xx-AHNoTOnNATPdavhYd7duUhLvLOo9bewm3x-yW8OOSZzxh1fIVkz-qilkn6gnsmzki_xMuxU-23HNrjvqLSa7rpCpUsyN49lRfR6DbQ/RieDnJ16XDD9ni_RNdQq7Yn-wb6EuouwSD4EuIT75I4)",,,
WDC,Workforce Development Council,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,,,,,"""Single Agency Head (commissioner, exec director, administrator)""",,,Yes,,,,,,
WHC,CIG - Weeksville Heritage Center,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,,,,,,,,,,,,,,
WHSGRB,Workplace Health and Safety Guidance Review Board,Board/Commission,,,,,,DM Health & Human Services,Anne Williams-Isom,A board to review the workplace health and safety guidance that agencies and private employers issued to employees during the COVID-19 pandemic.,,Intro. No 2161-2020,,,MC,,LL 22 2021,"""Single Agency Head (commissioner, exec director, administrator)""",The board consists of nine members.,Yes,No,,,"Local Law 22.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/eMN977s-wxVzw00smHtzZg/yo18lDKPWfHG2S5zFljBebysIDjn7JuOEZV_19Wl6lFIjYfHIi4nhG_i1YH2UxJgKYbp7XxMp3M58CsN50r62KCIl6F2xfwkqL5RmS6JggvCVq9OspJJ7Eqyn-3JyM_TsAi7zyybQQdJT4pij1Smjg/97428Ch2K_6IdiVisiAfQJV1q1TivExnVVXeR8-yzCE),Int_ No_ 2161-A.docx (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/aDpqBFfaVE6gxtQ7bZeLVA/aE4xZrsSf1qjdTCIg76RD3XvlPJN_RaZSkOGd7C2dTT-gMj7H5tH3_SmIaIMiu8AueGV8-K9sBxh0VXroKFgiiZjm1e4VAe_KvLi1MnKQ7ku5nSK9xFXCq2UlIKyVZvqwDTiPU7u1r_GHx0sztha9A/VhSUUsIWiMHNR9Q2aJVA14O-QvhpLD41KSgWofRWnF0)",,,
WMAB,Waterfront Management Advisory Board,Board/Commission,,,,,,DM Operations,Meera Joshi,"The Waterfront Management Advisory Board (1) advises the Mayor and any city agency on any matter relating to the industrial, commercial, residential, recreational or other use or development of wharves, waterfront property and waterfront infrastructure in the city, (2) prepares and submits reports to the mayor and speaker, on any issue relating to the industrial, commercial, residential, recreational or other use or development of wharves, waterfront property and waterfront infrastructure in the city, and (3) upon the request of the Director of DCP, advises the drafting of the comprehensive waterfront plan pursuant to section 205 of the charter. ",,City Charter Section 1303,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3527,https://www1.nyc.gov/site/planning/about/wmab/wmab.page,MC,,"Charter Chapter 56, Section 1303",Multi-member Commission,The advisory board is under SBS.,Yes,Yes,,,Local Law 96 of 2016.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/59rXmePwWY5AK7C4lyVsIg/L8crR2ba4Z4H2v5IaNJWK8rmZzUH63tNTOVTMcob9B6lTPk3FMRt0-VAjNU82HJV1UZvpswzbXf5SgTqK5kJw_5p2ONBj-RQKjh6jOxb8USmDOy_yb2RlI8MAKMHGtf7IP6yXS1nWX1Gx8Fwnlw7Qw/kpiNbxsRksKRo3pqCaNGwCxIvAsBCdObx32z9M2qz94),,,
WTCCIC,World Trade Center Captive Insurance Company,Board/Commission,,,,,,First Deputy Mayor,Maria Torres-Springer,"A public benefit corporation formed to provide insurance for risks incurred by the City of New York and its affiliated companies related to the attacks at the World Trade Center on September 11, 2001.","• Each director shall be an employee, former employee or employee-on-leave of the City of New York or a person experienced in the insurance, construction, financial, professional, or other business or governmental communities of the City of New York.                                                                                                                                               •At least two of the members are required to be residents of NY State
•One of the directors appointed by the Mayor shall serve as the “Representative of the Contractors” and shall be nominated or selected by a simple majority of the following: AMEC, plc, Bovis Lend Lease, Tully Construction Company, Inc., and Turner Construction Company                                                                                              •Mayor may appoint an alternate for each director.",New York State Insurance Law § 7005 (amended by Chapter 188 of the Laws of 2003),https://www.congress.gov/108/plaws/publ7/PLAW-108publ7.pdf,,MC,,"Public Law 108–7, 2003, 117 Stat. 517","""Single Agency Head (commissioner, exec director, administrator)"",Multi-member Commission",,No,No,,,,,,
