Name,NameAlphabetized,Name - CPO,Name - Checkbook,Name - Greenbook,Name - HOO,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID,Agency Name,Entity type,source,HeadOfOrganizationName,HeadOfOrganizationTitle,PrincipalOfficerContactURL,merged_from,data_source
Shelter Accessibility Advisory Board,,,,,,,,,,Shelter Accessibility Advisory Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shelter accessibility advisory board,OPS_000338,Shelter Accessibility Advisory Board,Board/Commission,ops,,,,,ops
Sheriff,"City Sheriff, Office of the",,,,NYC Sheriff,,,,,Sheriff,,Active,Division,,,Department of Finance,Department of Finance,New York City Charter,"Chapter 58, Section 1526",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3812,"There shall be within the department an office of the city sheriff which shall be subject to the supervision and control of the commissioner of finance. Notwithstanding any other provision of law, the commissioner of finance may exercise or assign within the department such management functions of the office of the sheriff, including but not limited to those functions related to the appointment and removal of deputy sheriffs and other personnel of such office pursuant to the civil service law, as he or she may deem appropriate to achieve effective and efficient functioning and management of such office. 2.   Except as otherwise provided by law, the city sheriff shall exercise the functions, powers and duties formerly exercised by the sheriffs of the several counties.",,,,,,,,,,1942.0,,office-of-the-city-sheriff,2024-07-29,,,Office of the City Sheriff,"City Sheriff, Office of the",,,sheriff,OPS_000135,Sheriff,Agency,ops,Non-existant,Non-existant ,https://www.nyc.gov/site/finance/about/contact-us.page,"[""OPS_000135"", ""REC_000164"", ""REC_000176""]",ops
Site Safety Training Task Force,,,,,,,,,,Site Safety Training Task Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,site safety training task force,OPS_000353,Site Safety Training Task Force,Board/Commission,ops,,,,,ops
Small Business Advisory Commission,,,,,,,,,,Small Business Advisory Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small business advisory commission,OPS_000342,Small Business Advisory Commission,Board/Commission,ops,,,,,ops
Soil and Water Conservation District ,,,,,,,,,,Soil and Water Conservation District ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soil and water conservation district,OPS_000355,Soil and Water Conservation District ,Board/Commission,ops,,,,,ops
Special Commissioner of Investigation for the New York City School District,"New York City School District, Special Commissioner of Investigation for the",,,,Special Commissioner of Investigation for the New York City School District,,,,,Special Commissioner of Investigation for the NYC School District,,Active,"Advisory, Oversight, or Regulatory Body",,,Department of Education,Department of Education,New York City Charter,"Chapter 20, Section 526-a",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1869,"The purpose and intent of this section is to ensure that all suspected crimes committed by an adult against a student or another adult, and all allegations of sex-offenses or other violent crimes committed by a student against another student, including any bias-related violent crime committed by any adult or student, in a public school, is reported to the police department and the special commissioner of investigation for the New York city school district. It is not the purpose and intent of this section to mandate the reporting of incidents amounting to ordinary misbehavior and ""name calling"" among students.",,,,,,,,,,1990.0,,special-commissioner-of-investigation-for-the-new-york-city-school-district,2024-07-29,,,Special Commissioner of Investigation for the New York City School District,"New York City School District, Special Commissioner of Investigation for the",,,special commissioner of investigation new york city school district,OPS_000344,Special Commissioner of Investigation for the NYC School District,Board/Commission,ops,Anastasia Coleman,Special Commissioner ,https://nycsci.org/contact-us/,"[{'id': 'HOO_000158', 'name': 'Special Commissioner of Investigation for the New York City School District', 'score': None}]",ops
"Sports, Wellness, & Recreation Advisory Board",,,,,,,,,,"Sports, Wellness, & Recreation Advisory Board",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sports wellness and recreation advisory board,OPS_000356,"Sports, Wellness, & Recreation Advisory Board",Board/Commission,ops,,,,,ops
State Fire Prevention and Building Code Council,,,,,,,,,,State Fire Prevention and Building Code Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state fire prevention and building code council,OPS_000346,State Fire Prevention and Building Code Council,Board/Commission,ops,,,,,ops
Street Harassment Prevention Advisory Board,,,,,,,,,,Street Harassment Prevention Advisory Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,street harassment prevention advisory board,OPS_000347,Street Harassment Prevention Advisory Board,Board/Commission,ops,,,,,ops
Street Vendor Advisory Board,,,,,,,,,,Street Vendor Advisory Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,street vendor advisory board,OPS_000354,Street Vendor Advisory Board,Board/Commission,ops,,,,,ops
Sustainability Advisory Board (Formerly OneNYC),,,,,,,,,,Sustainability Advisory Board (Formerly OneNYC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sustainability advisory board,OPS_000339,Sustainability Advisory Board (Formerly OneNYC),Board/Commission,ops,,,,,ops
Task Force on African American Civil Rights History Museum ,,,,,,,,,,Task Force on African American Civil Rights History Museum ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task force african american civil rights history museum,OPS_000139,Task Force on African American Civil Rights History Museum ,Board/Commission,ops,,,,,ops
"Task Force on Monuments, Statues, Public Art and Historical Markers",,,,,,,,,,"Task Force on Monuments, Statues, Public Art and Historical Markers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task force monuments statues public art and historical markers,OPS_000278,"Task Force on Monuments, Statues, Public Art and Historical Markers",Board/Commission,ops,,,,,ops
Taskforce on Racial Inclusion and Equity,"Racial Inclusion and Equity, Taskforce on",,,,,,,,Taskforce on Racial Inclusion & Equity (TRIE),,,Active,"Advisory, Oversight, or Regulatory Body",,https://www.nyc.gov/site/trie/index.page,,Mayor's Office of Equity and Racial Justice,New York City Charter,"Chapter 78, Section 3402",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6482,There shall be a taskforce on racial inclusion and equity to function as an interagency coordination and leadership body for citywide racial equity policy development and implementation. The taskforce shall be located within the office of racial equity.,,,TRIE,,,,,,,2020.0,,taskforce-on-racial-inclusion-and-equity,2024-07-29,,,Taskforce on Racial Inclusion and Equity (TRIE),"Racial Inclusion and Equity, Taskforce on (TRIE)",,,taskforce racial inclusion and equity,REC_000225,,,,,,,,nyc_agencies_export
Tax Appeals Tribunal,Tax Appeals Tribunal,,,,"Tax Appeals Tribunal, New York City (TAT)",,"Tax Appeals Tribunal, New York City (TAT)","Tax Appeals Tribunal, New York City (TAT)",Tax Appeals Tribunal (NYC TAT),Tax Appeals Tribunal,Tax Appeals Tribunal,Active,Division,The Tax Appeals Tribunal is an independent agency that resolves disputes between taxpayers and the New York City Department of Finance involving taxes administered by the City of New York. The Tax Appeals Tribunal does not resolve disputes related to the New York City Real Property Tax.,http://www.nyc.gov/tat,Office of Administrative Tax Appeals,Office of Administrative Tax Appeals,New York City Charter,"Chapter 7, Section 168",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6818,"An independent tax appeals tribunal is hereby established. Such tribunal shall be within the office of administrative tax appeals established under section one hundred fifty of this charter. The tribunal shall have jurisdiction to hear and determine cases initiated by the filing of petitions protesting notices issued by the commissioner of finance, which give a person the right to a hearing, including but not limited to any notice of determination of tax due, of a tax deficiency, of a denial of a refund or credit application or of the refusal to grant, the suspension or the revocation of a license issued pursuant to chapter thirteen of title eleven of the administrative code, which notices relate to nonproperty taxes, excise taxes and annual vault charges imposed by the city, except those taxes and charges administered by the State of New York on behalf of the City of New York. For purposes of the preceding sentence, if the commissioner of finance fails to act with respect to a refund application before the expiration of the time period after which the taxpayer may file a petition for refund with the tribunal pursuant to subdivision (c) of section 11-529 or subdivision three of section 11-680 of the administrative code, such failure shall be deemed to be a notice of denial of a refund issued by the commissioner of finance pursuant to such subdivision. The tribunal shall review petitions and other documents submitted to it, hold hearings, and render decisions as provided in this chapter. In rendering its decisions on claims asserted by taxpayers or the commissioner of finance, the tribunal shall have the same power and authority as the commissioner of finance to impose, modify or waive any taxes within its jurisdiction, interest thereon, and any applicable civil penalties. In appeals in which the rules of the commissioner of finance are at issue, the tribunal shall have the power and authority to rule on the legality of such rules.",,,TAT,,,Frances Henn,President and Commissioner,,,1988.0,,tax-appeals-tribunal,2024-07-29,,,Tax Appeals Tribunal (TAT),Tax Appeals Tribunal (TAT),Frances,Henn,tax appeals tribunal,OPS_000357,Tax Appeals Tribunal,Board/Commission,ops,Neil Schaier,President and Commissioner ,https://www.nyc.gov/site/taxappeals/contact/email-the-tax-appeals-tribunal.page,"[""OPS_000357"", ""REC_000226""]",ops
Tax Commission,Tax Commission,,,,"Tax Commission, New York City (TC)",New York City Tax Commission (TAXCOMM),"Tax Commission, New York City (TC)","Tax Commission, New York City (TC)",New York City Tax Commission (TAXCOMM),Tax Commission,New York City Tax Commission,Active,Division,The Tax Commission is the City of New York's forum for independent administrative review of real property tax assessments set by the Department of Finance. The Tax Commission reviews and determines annual applications for correction of assessment filed by owners and other parties with sufficient legal interest in properties which they claim are incorrectly assessed or improperly denied an exemption from real property tax.,https://www1.nyc.gov/site/taxcommission/index.page,Office of Administrative Tax Appeals,Office of Administrative Tax Appeals,New York City Charter,"Chapter 7, Section 153",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6556,"There shall be within the office of administrative tax appeals a tax commission to consist of the president and six commissioners who shall be appointed by the mayor for a term of six years, except the term of two commissioners first appointed pursuant to this section shall be two years, the term of the president and two additional commissioners shall be four years and the term of the remaining two commissioners shall be six years. Each commissioner shall have at least three years business experience in the field of real estate or real estate law. At least one resident of each borough shall be included among the commissioners.",,,TC,,,Frances Henn,President,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=New+York+City+Tax+Commission+%28TAXCOMM%29,,1993.0,,tax-commission,2024-07-29,,,Tax Commission (TC),Tax Commission (TC),Frances,Henn,tax commission,OPS_000358,Tax Commission,Board/Commission,ops,Frances Henn,(Retired) President,https://www.nyc.gov/site/taxcommission/contact-us/contact-the-tax-commission.page,"[""OPS_000358"", ""REC_000227"", ""REC_000165"", ""REC_000008""]",ops
