Name,NameAlphabetized,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID_x,RecordID_y,HeadOfOrganizationTitle,HeadOfOrganizationURL,Name - NYC.gov Redesign,RecordID,Name - Ops,data_source
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shelter accessibility advisory board,,,,,,REC_000334,Shelter Accessibility Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,site safety training task force,,,,,,REC_000349,Site Safety Training Task Force,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small business advisory commission,,,,,,REC_000338,Small Business Advisory Commission,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soil water conservation district,,,,,,REC_000351,Soil and Water Conservation District,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,special commissioner investigation school district,,REC_000158,Special Commissioner ,https://nycsci.org/,Special Commissioner of Investigation for the New York City School District,REC_000340,Special Commissioner of Investigation for the NYC School District,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sports wellness recreation advisory board,,,,,,REC_000352,"Sports, Wellness, and Recreation Advisory Board",ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state fire prevention building code council,,,,,,REC_000342,State Fire Prevention and Building Code Council,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,street harassment prevention advisory board,,,,,,REC_000343,Street Harassment Prevention Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,street vendor advisory board,,,,,,REC_000350,Street Vendor Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sustainability advisory board,,,,,,REC_000335,Sustainability Advisory Board (Formerly OneNYC),ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task force monuments statues public art historical markers,,,,,,REC_000274,"Task Force on Monuments, Statues, Public Art and Historical Markers",ops
Tax Appeals Tribunal,Tax Appeals Tribunal,Active,Division,The Tax Appeals Tribunal is an independent agency that resolves disputes between taxpayers and the New York City Department of Finance involving taxes administered by the City of New York. The Tax Appeals Tribunal does not resolve disputes related to the New York City Real Property Tax.,http://www.nyc.gov/tat,Office of Administrative Tax Appeals,Office of Administrative Tax Appeals,New York City Charter,"Chapter 7, Section 168",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6818,"An independent tax appeals tribunal is hereby established. Such tribunal shall be within the office of administrative tax appeals established under section one hundred fifty of this charter. The tribunal shall have jurisdiction to hear and determine cases initiated by the filing of petitions protesting notices issued by the commissioner of finance, which give a person the right to a hearing, including but not limited to any notice of determination of tax due, of a tax deficiency, of a denial of a refund or credit application or of the refusal to grant, the suspension or the revocation of a license issued pursuant to chapter thirteen of title eleven of the administrative code, which notices relate to nonproperty taxes, excise taxes and annual vault charges imposed by the city, except those taxes and charges administered by the State of New York on behalf of the City of New York. For purposes of the preceding sentence, if the commissioner of finance fails to act with respect to a refund application before the expiration of the time period after which the taxpayer may file a petition for refund with the tribunal pursuant to subdivision (c) of section 11-529 or subdivision three of section 11-680 of the administrative code, such failure shall be deemed to be a notice of denial of a refund issued by the commissioner of finance pursuant to such subdivision. The tribunal shall review petitions and other documents submitted to it, hold hearings, and render decisions as provided in this chapter. In rendering its decisions on claims asserted by taxpayers or the commissioner of finance, the tribunal shall have the same power and authority as the commissioner of finance to impose, modify or waive any taxes within its jurisdiction, interest thereon, and any applicable civil penalties. In appeals in which the rules of the commissioner of finance are at issue, the tribunal shall have the power and authority to rule on the legality of such rules.",,,TAT,,,Frances Henn,President and Commissioner,,,1988.0,,tax-appeals-tribunal,2024-07-29,,,"Tax Appeals Tribunal, New York City (TAT)","Tax Appeals Tribunal, New York City (TAT)",,Tax Appeals Tribunal (NYC TAT),,Tax Appeals Tribunal,,,Tax Appeals Tribunal (TAT),Tax Appeals Tribunal (TAT),Frances,Henn,tax appeals tribunal,REC_000235,REC_000165,President and Commissioner ,https://www.nyc.gov/site/taxappeals/index.page,"Tax Appeals Tribunal, New York City (TAT)",REC_000353,Tax Appeals Tribunal,ops
Tax Commission,Tax Commission,Active,Division,The Tax Commission is the City of New York's forum for independent administrative review of real property tax assessments set by the Department of Finance. The Tax Commission reviews and determines annual applications for correction of assessment filed by owners and other parties with sufficient legal interest in properties which they claim are incorrectly assessed or improperly denied an exemption from real property tax.,https://www1.nyc.gov/site/taxcommission/index.page,Office of Administrative Tax Appeals,Office of Administrative Tax Appeals,New York City Charter,"Chapter 7, Section 153",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6556,"There shall be within the office of administrative tax appeals a tax commission to consist of the president and six commissioners who shall be appointed by the mayor for a term of six years, except the term of two commissioners first appointed pursuant to this section shall be two years, the term of the president and two additional commissioners shall be four years and the term of the remaining two commissioners shall be six years. Each commissioner shall have at least three years business experience in the field of real estate or real estate law. At least one resident of each borough shall be included among the commissioners.",,,TC,,,Frances Henn,President,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=New+York+City+Tax+Commission+%28TAXCOMM%29,,1993.0,,tax-commission,2024-07-29,,,"Tax Commission, New York City (TC)","Tax Commission, New York City (TC)",New York City Tax Commission (TAXCOMM),New York City Tax Commission (TAXCOMM),,New York City Tax Commission,,,Tax Commission (TC),Tax Commission (TC),Frances,Henn,tax commission,REC_000165,REC_000166,(Retired) President,https://www.nyc.gov/site/taxcommission/index.page,"Tax Commission, New York City (TC)",REC_000354,Tax Commission,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teachers retirement system city new york,,REC_000168,Executive Director ,https://www.trsnyc.org/memberportal/login,Teachers' Retirement System of the City of New York,REC_000412,Teachers' Retirement System of City of New York,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teachers retirement system pension fund board trustees,,,,,,REC_000362,Teachers' Retirement System Pension Fund Board of Trustees,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,temporary commercial incentive area boundary commission,,,,,,REC_000249,Temporary Commercial Incentive Area Boundary Commission (ICAP),ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,temporary task force postincarceration reentry older adults,,,,,,REC_000357,Temporary Task Force on Post-Incarceration Reentry for Older Adults,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,temporary task force review tax lien sales,,,,,,REC_000358,Temporary Task Force to Review Tax Lien Sales,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theater subdistrict council local development corporation,,,,,,REC_000364,Theater Subdistrict Council Local Development Corporation,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,three quarter housing task force,,,,,,REC_000361,Three Quarter Housing Task Force,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tobacco settlement asset securitization corporation,,,,,,REC_000363,Tobacco Settlement Asset Securitization Corporation,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tourism conventions,,REC_000131,President and CEO,https://www.nyctourism.com/,NYC Tourism + Conventions,REC_000300,New York City Tourism and Conventions (formerly known New York City and Company Board),ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic mobility review board,,,,,,REC_000360,Traffic Mobility Review Board (aka Congestion Pricing),ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit riders council,,,,,,REC_000302,New York City Transit Riders Council,ops
Transitional Finance Authority,Transitional Finance Authority,Active,Authority or Public Benefit Corporation,The New York City Transitional Finance Authority is a public benefit corporation created in 1997 to fund a portion of the capital program of the City of New York and to facilitate the capital finance program of the City.,http://www.nyc.gov/tfa,,,New York State Law,,,,,,TFA,,,David Womack,Executive Director,,,1997.0,,transitional-finance-authority,2024-07-29,,,"Transitional Finance Authority, New York City (TFA)","Transitional Finance Authority, New York City (TFA)",,,,Transitional Finance Authority,"Transitional Finance Authority, NYC",,Transitional Finance Authority (TFA),Transitional Finance Authority (TFA),David,Womack,transitional finance authority,REC_000240,REC_000170,Executive Director ,https://www.nyc.gov/site/transitionalfinance/index.page,"Transitional Finance Authority, New York City (TFA)",REC_000411,NYC Transitional Finance Authority,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transportation students temporary housing task force,,,,,,REC_000365,Transportation of Students in Temporary Housing Task Force,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trust cultural resources,,,,,,REC_000355,Trust for Cultural Resources,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trust governors island,,,,,,REC_000359,Trust for Governors Island,ops
United Nations Development Corporation,United Nations Development Corporation,Active,Authority or Public Benefit Corporation,,https://undc.org/,,,New York State Law,,,,,,,,,,,,,1968.0,,united-nations-development-corporation,2024-07-29,,,,,,,,,United Nations Development Corporation,,United Nations Development Corporation,United Nations Development Corporation,,,united nations development corporation,REC_000243,,,,,REC_000367,United Nations Development Corporation,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urban agricultural advisory board,,,,,,REC_000366,Urban Agricultural Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vehicle removal task force,,,,,,REC_000370,Vehicle Removal Task Force,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,veterans advisory board,,,,,,REC_000369,Veterans Advisory Board,ops
Voter Assistance Advisory Committee,Voter Assistance Advisory Committee,Active,"Advisory, Oversight, or Regulatory Body",,,,Campaign Finance Board,New York City Charter,"Chapter 46, Section 1054",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2972,"There shall be a voter assistance advisory committee consisting of nine members, which shall assist the board with its duties and responsibilities under this chapter, including but not limited to overseeing the voter assistance program established by this chapter.",,,,,,,,,,2010.0,,voter-assistance-advisory-committee,2024-07-29,,,,,,,,,,,Voter Assistance Advisory Committee,Voter Assistance Advisory Committee,,,voter assistance advisory committee,REC_000245,,,,,REC_000368,Voter Assistance Advisory Committee,ops
New York City Water Board,"Water Board, New York City",Active,Authority or Public Benefit Corporation,"

The New York City Water Board’s mission is to establish rates for and distribute the collected revenues of the Water and Sewer System (the ""System"") of the City of New York, proactively considering the optimal level to achieve efficient financing of the System’s infrastructure and sustainable provision of high-quality service at a fair price to our customers.",http://www.nyc.gov/nycwaterboard,,,New York State Law,,,,,,NYWB,,,Alfonso Carney,Chair,,,1905.0,,new-york-city-water-board,2024-07-29,,,Water Board (NYWB),Water Board (NYWB),,New York City Water Board (NYWB),,New York City Water Board,,,New York City Water Board (NYWB),"Water Board, New York City (NYWB)",Alfonso,Carney,water board,REC_000166,REC_000174,Chair ,https://www.nyc.gov/site/nycwaterboard/index.page,Water Board (NYWB),REC_000371,Water Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,waterfront management advisory board,,,,,,REC_000378,Waterfront Management Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,watershed protection partnership council,,,,,,REC_000303,New York City Watershed Protection and Partnership Council,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,workforce development board,,,,,,REC_000374,Workforce Development Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,workforce development council,,,,,,REC_000375,Workforce Development Council,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,workplace health safety guidance review board,,,,,,REC_000377,Workplace Health and Safety Guidance Review Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,world trade center captive insurance company,,,,,,REC_000379,World Trade Center Captive Insurance Company,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,world trade center memorial foundation,,,,,,REC_000380,World Trade Center Memorial Foundation,ops
